"","M","Z1","Z2","Z3","Z4","Z5","X1","X2","X3","X4","X5","X6","X7"
"101","gBOIN-ET",60,5,"Highest Efficacy",1,"Rec",0.25,0.75,1.67,3.73,9.83,27.99,55.78
"102","gBOIN-ET",60,5,"Highest Efficacy",1,"Pats",NA,3.6252,4.1433,4.7298,5.5806,8.2872,9.6216
"103","gBOIN-ET",60,5,"Highest Efficacy",2,"Rec",0.38,0.6,1.42,4,51.53,40.69,1.38
"104","gBOIN-ET",60,5,"Highest Efficacy",2,"Pats",NA,3.6618,4.35,5.5932,13.7022,8.1246,0.5448
"105","gBOIN-ET",60,5,"Highest Efficacy",3,"Rec",4.24,3.14,10.26,32,48.92,1.39,0.05
"106","gBOIN-ET",60,5,"Highest Efficacy",3,"Pats",NA,4.9611,7.3362,10.3143,11.7495,1.1541,0.0852
"107","gBOIN-ET",60,5,"Highest Efficacy",4,"Rec",1.27,6.08,22.33,65.11,4.8,0.4,0.01
"108","gBOIN-ET",60,5,"Highest Efficacy",4,"Pats",NA,6.1788,11.5011,16.2741,1.7487,0.1308,0.0081
"109","gBOIN-ET",60,5,"Highest Efficacy",5,"Rec",1.27,5.17,36.62,54.65,2.27,0.02,0
"110","gBOIN-ET",60,5,"Highest Efficacy",5,"Pats",NA,6.8322,14.0052,13.6641,1.2363,0.0888,0.0048
"111","gBOIN-ET",60,5,"Highest Efficacy",6,"Rec",0.76,36.05,60.34,2.73,0.12,0,0
"112","gBOIN-ET",60,5,"Highest Efficacy",6,"Pats",NA,15.3897,18.5961,1.6344,0.1332,0.0078,3e-04
"113","gBOIN-ET",60,5,"Highest Efficacy",7,"Rec",4.34,92.94,2.7,0.02,0,0,0
"114","gBOIN-ET",60,5,"Highest Efficacy",7,"Pats",NA,32.7282,2.0142,0.1821,0.0105,0.0012,0
"115","gBOIN-ET",60,5,"Highest Efficacy",8,"Rec",0.01,16.7,71.74,9.36,1.94,0.24,0.01
"116","gBOIN-ET",60,5,"Highest Efficacy",8,"Pats",NA,11.9499,20.6121,2.5944,0.6462,0.1623,0.0318
"117","gBOIN-ET",60,5,"Highest Efficacy",9,"Rec",1.18,0.78,1.69,3.34,91.66,1.32,0.03
"118","gBOIN-ET",60,5,"Highest Efficacy",9,"Pats",NA,3.7599,4.3635,4.6905,20.8992,2.0004,0.1938
"119","gBOIN-ET",60,5,"Highest Efficacy",10,"Rec",0.05,0.34,0.49,1.69,10.64,74.76,12.03
