"","M","Z1","Z2","Z3","Z4","X1","X2","X3","X4","X5","X6"
"21","TITE-gBOIN-ET",45,10,"Utility",1,65.42,27.3207824042422,0,0,0.3,490.322124764914
"22","TITE-gBOIN-ET",45,10,"Utility",2,54.8,29.0901808958013,12.76,5.76897403377612,0.5,467.275322314935
"23","TITE-gBOIN-ET",45,10,"Utility",3,56.86,33.7093111279334,15.47,7.56413491462697,3.77,460.655992464251
"24","TITE-gBOIN-ET",45,10,"Utility",4,59.34,41.6021516187412,27.77,16.8392653663114,1.77,438.128865564733
"25","TITE-gBOIN-ET",45,10,"Utility",5,55.63,39.4791457454643,18.1,10.6288076588338,1.47,440.11472826171
"26","TITE-gBOIN-ET",45,10,"Utility",6,63.95,50.9460769565072,26.92,17.9896700431251,0.36,420.890719509814
"27","TITE-gBOIN-ET",45,10,"Utility",7,75.34,82.6219796030638,22.46,17.3780203969362,2.2,409.155852462162
"28","TITE-gBOIN-ET",45,10,"Utility",8,76.55,55.6392669328022,11.43,26.9208010734317,0.01,432.595733342545
"29","TITE-gBOIN-ET",45,10,"Utility",9,49.85,40.7881329034629,33.49,17.5584250705778,1.61,471.238358941026
"30","TITE-gBOIN-ET",45,10,"Utility",10,46.2,17.2093914869854,0,0,0.14,477.655475329596
"31","TITE-gBOIN-ET",45,10,"Highest Efficacy",1,63.96,27.3207824042422,0,0,0.3,490.322124764914
"32","TITE-gBOIN-ET",45,10,"Highest Efficacy",2,54.99,29.0901808958013,6.58,5.76897403377612,0.5,467.275322314935
"33","TITE-gBOIN-ET",45,10,"Highest Efficacy",3,55.77,33.7093111279334,4.98,7.56413491462697,3.77,460.655992464251
"34","TITE-gBOIN-ET",45,10,"Highest Efficacy",4,61.65,41.6021516187412,19.12,16.8392653663114,1.77,438.128865564733
"35","TITE-gBOIN-ET",45,10,"Highest Efficacy",5,58.94,39.4791457454643,8.08,10.6288076588338,1.47,440.11472826171
"36","TITE-gBOIN-ET",45,10,"Highest Efficacy",6,65.95,50.9460769565072,13.39,17.9896700431251,0.36,420.890719509814
"37","TITE-gBOIN-ET",45,10,"Highest Efficacy",7,87.93,82.6219796030638,9.87,17.3780203969362,2.2,409.155852462162
"38","TITE-gBOIN-ET",45,10,"Highest Efficacy",8,75.21,55.6392669328022,18.27,26.9208010734317,0.01,432.595733342545
"39","TITE-gBOIN-ET",45,10,"Highest Efficacy",9,78.25,40.7881329034629,8.27,17.5584250705778,1.61,471.238358941026
"40","TITE-gBOIN-ET",45,10,"Highest Efficacy",10,38.85,17.2093914869854,0,0,0.14,477.655475329596
"41","TITE-gBOIN-ET",60,5,"Utility",1,64.86,25.5382819989164,0,0,0.18,452.608243080878
"42","TITE-gBOIN-ET",60,5,"Utility",2,53.25,28.1091455273698,13.59,6.88417890520694,0.52,406.194098711203
"43","TITE-gBOIN-ET",60,5,"Utility",3,56.12,32.331566994701,16.79,8.72991841197746,3.64,399.997645064127
"44","TITE-gBOIN-ET",60,5,"Utility",4,56.65,38.3169667897297,31.18,19.8817925341772,1.52,351.662875827458
"45","TITE-gBOIN-ET",60,5,"Utility",5,54.81,37.5743312283288,19.23,12.7129432653813,1.6,354.814495729177
"46","TITE-gBOIN-ET",60,5,"Utility",6,60.71,48.2024791661443,30.39,20.8338557469679,0.43,315.368359733627
"47","TITE-gBOIN-ET",60,5,"Utility",7,71.8,78.7259605215287,26.14,21.2740394784713,2.06,293.81213515859
