"","M","Z1","Z2","Z3","Z4","Z5","X1","X2","X3","X4","X5","X6","X7"
"231","gBOIN-ET",90,10,"Highest Efficacy",6,"Rec",0.65,22.62,68.23,7.58,0.88,0.04,0
"232","gBOIN-ET",90,10,"Highest Efficacy",6,"Pats",NA,12.5133,19.3287,3.3942,0.5181,0.0588,0.0045
"233","gBOIN-ET",90,10,"Highest Efficacy",7,"Rec",2.56,90.47,6.79,0.18,0,0,0
"234","gBOIN-ET",90,10,"Highest Efficacy",7,"Pats",NA,31.0938,3.7293,0.4584,0.0345,0.0045,3e-04
"235","gBOIN-ET",90,10,"Highest Efficacy",8,"Rec",0,4.69,77.05,12.1,5.18,0.89,0.09
"236","gBOIN-ET",90,10,"Highest Efficacy",8,"Pats",NA,6.9231,22.2906,3.9045,1.9221,0.7551,0.2046
"237","gBOIN-ET",90,10,"Highest Efficacy",9,"Rec",1.9,1.5,2.56,5.46,82.77,5.31,0.5
"238","gBOIN-ET",90,10,"Highest Efficacy",9,"Pats",NA,4.2081,4.9251,4.9035,16.9422,4.2009,0.708
"239","gBOIN-ET",90,10,"Highest Efficacy",10,"Rec",0.06,0.33,0.55,1.6,5.73,65.91,25.82
"240","gBOIN-ET",90,10,"Highest Efficacy",10,"Pats",NA,3.2607,3.5685,4.1742,5.751,14.9556,4.2861
