"","M","Z1","Z2","Z3","Z4","Z5","X1","X2","X3","X4","X5","X6","X7"
"99","TITE-gBOIN-ET",60,5,"Utility",10,"Rec",0.03,0.74,1.21,2.16,6.27,50.91,38.68
"100","TITE-gBOIN-ET",60,5,"Utility",10,"Pats",NA,3.3234,3.7119,4.4442,6.0786,12.9471,5.4936
"101","TITE-gBOIN-ET",60,5,"Highest Efficacy",1,"Rec",0.23,0.68,1.82,3.18,9.54,24.93,59.62
"102","TITE-gBOIN-ET",60,5,"Highest Efficacy",1,"Pats",NA,3.858,4.5603,5.2923,5.9136,7.2012,9.1638
"103","TITE-gBOIN-ET",60,5,"Highest Efficacy",2,"Rec",0.47,0.66,1.59,4.79,39.31,49.19,3.99
"104","TITE-gBOIN-ET",60,5,"Highest Efficacy",2,"Pats",NA,3.9561,4.8018,5.7669,9.9543,9.6786,1.8009
"105","TITE-gBOIN-ET",60,5,"Highest Efficacy",3,"Rec",3.19,2.72,9.54,29.81,51.58,3.06,0.1
"106","TITE-gBOIN-ET",60,5,"Highest Efficacy",3,"Pats",NA,4.965,7.2795,9.5721,11.4927,2.1423,0.2685
"107","TITE-gBOIN-ET",60,5,"Highest Efficacy",4,"Rec",1.09,6.07,19.8,59.99,11.11,1.76,0.18
"108","TITE-gBOIN-ET",60,5,"Highest Efficacy",4,"Pats",NA,6.0354,10.1223,14.2608,4.2996,1.0131,0.1572
"109","TITE-gBOIN-ET",60,5,"Highest Efficacy",5,"Rec",1.17,5.44,32.18,56.28,4.76,0.17,0
"110","TITE-gBOIN-ET",60,5,"Highest Efficacy",5,"Pats",NA,7.125,12.0246,13.5675,2.7336,0.3849,0.0339
"111","TITE-gBOIN-ET",60,5,"Highest Efficacy",6,"Rec",0.61,30.36,61.61,6.63,0.72,0.07,0
"112","TITE-gBOIN-ET",60,5,"Highest Efficacy",6,"Pats",NA,12.7647,17.757,4.2411,0.8853,0.1395,0.0189
"113","TITE-gBOIN-ET",60,5,"Highest Efficacy",7,"Rec",3.69,90.86,5.13,0.31,0.01,0,0
"114","TITE-gBOIN-ET",60,5,"Highest Efficacy",7,"Pats",NA,30.2781,4.0419,0.6828,0.0807,0.0099,3e-04
"115","TITE-gBOIN-ET",60,5,"Highest Efficacy",8,"Rec",0,8.81,75.43,11.14,4.09,0.5,0.03
"116","TITE-gBOIN-ET",60,5,"Highest Efficacy",8,"Pats",NA,6.6993,20.3433,4.9161,2.6712,1.0803,0.2898
"117","TITE-gBOIN-ET",60,5,"Highest Efficacy",9,"Rec",0.84,1.36,2.06,4.23,87.42,3.54,0.55
"118","TITE-gBOIN-ET",60,5,"Highest Efficacy",9,"Pats",NA,4.3341,5.136,5.1438,15.7599,4.6698,0.9078
"119","TITE-gBOIN-ET",60,5,"Highest Efficacy",10,"Rec",0.03,0.26,0.53,1.73,8.55,57.07,31.83
"120","TITE-gBOIN-ET",60,5,"Highest Efficacy",10,"Pats",NA,3.3234,3.7119,4.4442,6.0786,12.9471,5.4936
"121","TITE-gBOIN-ET",60,10,"Utility",1,"Rec",0.35,1.62,2.82,4.2,6.95,17.1,66.96
"122","TITE-gBOIN-ET",60,10,"Utility",1,"Pats",NA,3.7614,4.4241,5.1189,5.8566,7.5147,9.306
"123","TITE-gBOIN-ET",60,10,"Utility",2,"Rec",0.33,1.59,2.78,3.22,27.93,55.53,8.62
"124","TITE-gBOIN-ET",60,10,"Utility",2,"Pats",NA,3.8004,4.5714,5.6331,10.5777,9.9582,1.4325
"125","TITE-gBOIN-ET",60,10,"Utility",3,"Rec",3.53,4.31,8.35,10.78,60.29,11.43,1.31
"126","TITE-gBOIN-ET",60,10,"Utility",3,"Pats",NA,4.9509,7.3452,9.8265,11.5008,1.8348,0.216
"127","TITE-gBOIN-ET",60,10,"Utility",4,"Rec",1.04,5.11,5.16,67.87,16.49,3.68,0.65
